/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"calle de adrián pulido","calle de adrián pulido","calle adrián pulido","adrián pulido"
"calle de adriano de utrecht","calle de adriano de utrecht","calle adriano de utrecht","adriano de utrecht"
"calle de la aduana","calle de la aduana","calle aduana","aduana"
"calle de la aeronave","calle de la aeronave","calle aeronave","aeronave"
"camino del aeropuerto","camino del aeropuerto","camino aeropuerto"
"calle del afecto","calle del afecto","calle afecto","afecto"
"calle de los afluentes","calle de los afluentes","calle afluentes","afluentes"
"calle de afueras a san roque","calle de afueras a san roque","calle afueras a san roque","afueras a san roque"
"calle de afueras a valverde","calle de afueras a valverde","calle afueras a valverde","afueras a valverde"
"puente de la agachadiza","puente de la agachadiza","puente agachadiza"
"calle de agami","calle de agami","calle agami","agami"
"calle de agastia","calle de agastia","calle agastia","agastia"
"calle de ágata","calle de ágata","calle ágata","ágata"
"plaza de ágata","plaza de ágata","plaza ágata"
"calle de agatha christie","calle de agatha christie","calle agatha christie","agatha christie"
"calle del ágave","calle del ágave","calle ágave","ágave"
"calle de agés","calle de agés","calle agés","agés"
"calle de agila","calle de agila","calle agila","agila"
"calle de agosto","calle de agosto","calle agosto","agosto"
"calle del agracejo","calle del agracejo","calle agracejo","agracejo"
"calle de agramunt","calle de agramunt","calle agramunt","agramunt"
"calle de ágreda","calle de ágreda","calle ágreda","ágreda"
"plaza de agua azucarillos y aguardiente","plaza de agua azucarillos y aguardiente","plaza agua azucarillos y aguardiente"
"calle del aguacate","calle del aguacate","calle aguacate","aguacate"
"plaza del aguador","plaza del aguador","plaza aguador"
"calle de aguadulce","calle de aguadulce","calle aguadulce","aguadulce"
"calle de aguarón","calle de aguarón","calle aguarón","aguarón"
"calle de las aguas","calle de las aguas","calle aguas","aguas"
"calle de aguaviva","calle de aguaviva","calle aguaviva","aguaviva"
"calle de águeda díez","calle de águeda díez","calle águeda díez","águeda díez"
"plaza de águeda díez","plaza de águeda díez","plaza águeda díez"
"calle de aguetol","calle de aguetol","calle aguetol","aguetol"
"calle del águila","calle del águila","calle águila","águila"
"camino del águila de san jorge","camino del águila de san jorge","camino águila de san jorge"
"calle de aguilafuente","calle de aguilafuente","calle aguilafuente","aguilafuente"
"calle de aguilar de campoo","calle de aguilar de campoo","calle aguilar de campoo","aguilar de campoo"
"calle de aguilar del río","calle de aguilar del río","calle aguilar del río","aguilar del río"
"calle de las aguileñas","calle de las aguileñas","calle aguileñas","aguileñas"
"calle de aguilón","calle de aguilón","calle aguilón","aguilón"
"calle de aguirre","calle de aguirre","calle aguirre","aguirre"
"calle de la aguja","calle de la aguja","calle aguja","aguja"
"calle de agustín calvo","calle de agustín calvo","calle agustín calvo","agustín calvo"
"calle de agustín de betancourt","calle de agustín de betancourt","calle agustín de betancourt","agustín de betancourt"
"calle de agustín de foxá","calle de agustín de foxá","calle agustín de foxá","agustín de foxá"
"calle de agustín de iturbide","calle de agustín de iturbide","calle agustín de iturbide","agustín de iturbide"
"calle de agustín de rojas","calle de agustín de rojas","calle agustín de rojas","agustín de rojas"
"calle de agustín durán","calle de agustín durán","calle agustín durán","agustín durán"
"calle de agustín garcía malla","calle de agustín garcía malla","calle agustín garcía malla","agustín garcía malla"
"plaza de agustín gonzález","plaza de agustín gonzález","plaza agustín gonzález"
"calle de agustín lara","calle de agustín lara","calle agustín lara","agustín lara"
"calle de agustín querol","calle de agustín querol","calle agustín querol","agustín querol"
"calle de agustín rodríguez bonat","calle de agustín rodríguez bonat","calle agustín rodríguez bonat","agustín rodríguez bonat"
"calle de agustín viñamata","calle de agustín viñamata","calle agustín viñamata","agustín viñamata"
"calle de agustina de aragón","calle de agustina de aragón","calle agustina de aragón","agustina de aragón"
"calle de agustina fierra","calle de agustina fierra","calle agustina fierra","agustina fierra"
"calle de los ahijones","calle de los ahijones","calle ahijones","ahijones"
"pasaje de ahillones","pasaje de ahillones","pasaje ahillones"
"avenida de los ahones","avenida de los ahones","avenida ahones"
"plaza del ahorro","plaza del ahorro","plaza ahorro"
"calle de los ahumaos","calle de los ahumaos","calle ahumaos","ahumaos"
"calle del ailanto","calle del ailanto","calle ailanto","ailanto"
"calle de aínsa","calle de aínsa","calle aínsa","aínsa"
"calle del aire","calle del aire","calle aire","aire"
"calle de aizgorri","calle de aizgorri","calle aizgorri","aizgorri"
"calle de ajalvir","calle de ajalvir","calle ajalvir","ajalvir"
"calle del ajenjo","calle del ajenjo","calle ajenjo","ajenjo"
"calle de ajofrín","calle de ajofrín","calle ajofrín","ajofrín"
"paseo de los alabarderos","paseo de los alabarderos","paseo alabarderos"
"calle del alabastro","calle del alabastro","calle alabastro","alabastro"
"calle de la aladierna","calle de la aladierna","calle aladierna","aladierna"
"calle de alagón","calle de alagón","calle alagón","alagón"
"calle de alajate","calle de alajate","calle alajate","alajate"
"calle del alambique","calle del alambique","calle alambique","alambique"
"calle de la alameda","calle de la alameda","calle alameda","alameda"
"calle de la alameda de la fuente","calle de la alameda de la fuente","calle alameda de la fuente","alameda de la fuente"
"paseo de la alameda de osuna","paseo de la alameda de osuna","paseo alameda de osuna"
"calle de alameda del valle","calle de alameda del valle","calle alameda del valle","alameda del valle"
"calle de alamedilla","calle de alamedilla","calle alamedilla","alamedilla"
"paseo de las alamedillas","paseo de las alamedillas","paseo alamedillas"
"calle del alamillo","calle del alamillo","calle alamillo","alamillo"
"plaza del alamillo","plaza del alamillo","plaza alamillo"
"calle del álamo","calle del álamo","calle álamo","álamo"
"puente del álamo negro","puente del álamo negro","puente álamo negro"
"calle de alan turing","calle de alan turing","calle alan turing","alan turing"
"calle de alanis","calle de alanis","calle alanis","alanis"
"calle de alar del rey","calle de alar del rey","calle alar del rey","alar del rey"
"calle de alarico","calle de alarico","calle alarico","alarico"
"calle de alaró","calle de alaró","calle alaró","alaró"
"travesía de alaró","travesía de alaró","travesía alaró"
"calle de las alas","calle de las alas","calle alas","alas"
"calle del alaterno","calle del alaterno","calle alaterno","alaterno"
"calle de álava","calle de álava","calle álava","álava"
"calle del alba","calle del alba","calle alba","alba"
"calle de alba de tormes","calle de alba de tormes","calle alba de tormes","alba de tormes"
"calle de albacete","calle de albacete","calle albacete","albacete"
"calle de albadalejo","calle de albadalejo","calle albadalejo","albadalejo"
"calle de la albahaca","calle de la albahaca","calle albahaca","albahaca"
"calle de albaicín","calle de albaicín","calle albaicín","albaicín"
"calle de albaida","calle de albaida","calle albaida","albaida"
"calle de albalá","calle de albalá","calle albalá","albalá"
"calle de albalate del arzobispo","calle de albalate del arzobispo","calle albalate del arzobispo","albalate del arzobispo"
"calle de albania","calle de albania","calle albania","albania"
"calle de la albañilería","calle de la albañilería","calle albañilería","albañilería"
"calle del albardín","calle del albardín","calle albardín","albardín"
"calle de albares de la ribera","calle de albares de la ribera","calle albares de la ribera","albares de la ribera"
"calle del albaricoque","calle del albaricoque","calle albaricoque","albaricoque"
"calle de albarracín","calle de albarracín","calle albarracín","albarracín"
"calle de albasanz","calle de albasanz","calle albasanz","albasanz"
"calle de albatana","calle de albatana","calle albatana","albatana"
"calle del albatros","calle del albatros","calle albatros","albatros"
"calle de albelda","calle de albelda","calle albelda","albelda"
"calle de albendiego","calle de albendiego","calle albendiego","albendiego"
"calle de albéniz","calle de albéniz","calle albéniz","albéniz"
"calle de albentosa","calle de albentosa","calle albentosa","albentosa"
"calle del alberche","calle del alberche","calle alberche","alberche"
"pasaje del alberche","pasaje del alberche","pasaje alberche"
"calle de alberdi","calle de alberdi","calle alberdi","alberdi"
"calle de alberdi (particular)","calle de alberdi (particular)","calle alberdi (particular)","alberdi (particular)"
"carretera del albergue juvenil","carretera del albergue juvenil","carretera albergue juvenil"
"calle de alberique","calle de alberique","calle alberique","alberique"
"calle de albert camus","calle de albert camus","calle albert camus","albert camus"
"calle de alberto aguilera","calle de alberto aguilera","calle alberto aguilera","alberto aguilera"
"avenida de alberto alcocer","avenida de alberto alcocer","avenida alberto alcocer"
"calle de alberto bosch","calle de alberto bosch","calle alberto bosch","alberto bosch"
"calle de alberto de palacio","calle de alberto de palacio","calle alberto de palacio","alberto de palacio"
"calle de alberto insúa","calle de alberto insúa","calle alberto insúa","alberto insúa"
"calle de alberto león peralta","calle de alberto león peralta","calle alberto león peralta","alberto león peralta"
"calle de alberto marcos","calle de alberto marcos","calle alberto marcos","alberto marcos"
"calle de alberto martín artajo","calle de alberto martín artajo","calle alberto martín artajo","alberto martín artajo"
"calle de alberto palacios","calle de alberto palacios","calle alberto palacios","alberto palacios"
"paseo de alberto palacios","paseo de alberto palacios","paseo alberto palacios"
"calle de alberto sánchez","calle de alberto sánchez","calle alberto sánchez","alberto sánchez"
"calle de albino hernández lázaro","calle de albino hernández lázaro","calle albino hernández lázaro","albino hernández lázaro"
"calle de alborea","calle de alborea","calle alborea","alborea"
"calle de albox","calle de albox","calle albox","albox"
"avenida de la albufera","avenida de la albufera","avenida albufera"
"calle de albuñuelas","calle de albuñuelas","calle albuñuelas","albuñuelas"
"calle de alburquerque","calle de alburquerque","calle alburquerque","alburquerque"
"calle de alcácer tejares","calle de alcácer tejares","calle alcácer tejares","alcácer tejares"
"calle de alcalá","calle de alcalá","calle alcalá","alcalá"
"calle de alcalá de guadaira","calle de alcalá de guadaira","calle alcalá de guadaira","alcalá de guadaira"
"calle de alcalá galiano","calle de alcalá galiano","calle alcalá galiano","alcalá galiano"
"calle del alcalde alfonso vázquez","calle del alcalde alfonso vázquez","calle alcalde alfonso vázquez","alcalde alfonso vázquez"
"calle del alcalde álvarez de villaamil","calle del alcalde álvarez de villaamil","calle alcalde álvarez de villaamil","alcalde álvarez de villaamil"
"calle del alcalde andrés madrid dávila","calle del alcalde andrés madrid dávila","calle alcalde andrés madrid dávila","alcalde andrés madrid dávila"
"calle del alcalde aristizábal manchón","calle del alcalde aristizábal manchón","calle alcalde aristizábal manchón","alcalde aristizábal manchón"
"plaza del alcalde brell","plaza del alcalde brell","plaza alcalde brell"
"calle del alcalde conde de mirasol","calle del alcalde conde de mirasol","calle alcalde conde de mirasol","alcalde conde de mirasol"
"glorieta del alcalde de canillas cipriano santillana moreno","glorieta del alcalde de canillas cipriano santillana moreno","glorieta alcalde de canillas cipriano santillana moreno"
"glorieta del alcalde de canillas joaquín heras jiménez","glorieta del alcalde de canillas joaquín heras jiménez","glorieta alcalde de canillas joaquín heras jiménez"
"glorieta del alcalde de canillas luis heras jiménez","glorieta del alcalde de canillas luis heras jiménez","glorieta alcalde de canillas luis heras jiménez"
"glorieta del alcalde de canillas marco arévalo pérez","glorieta del alcalde de canillas marco arévalo pérez","glorieta alcalde de canillas marco arévalo pérez"
"glorieta del alcalde de canillas vicente lillo soler","glorieta del alcalde de canillas vicente lillo soler","glorieta alcalde de canillas vicente lillo soler"
"glorieta del alcalde de hortaleza andrés molpeceres barceló","glorieta del alcalde de hortaleza andrés molpeceres barceló","glorieta alcalde de hortaleza andrés molpeceres barceló"
"glorieta del alcalde de hortaleza ángel martínez lorenzo","glorieta del alcalde de hortaleza ángel martínez lorenzo","glorieta alcalde de hortaleza ángel martínez lorenzo"
"glorieta del alcalde de hortaleza rafael ortega lópez","glorieta del alcalde de hortaleza rafael ortega lópez","glorieta alcalde de hortaleza rafael ortega lópez"
"plazuela del alcalde de hortaleza victoriano elipe sánchez","plazuela del alcalde de hortaleza victoriano elipe sánchez","plazuela alcalde de hortaleza victoriano elipe sánchez"
"calle del alcalde garrido juaristi","calle del alcalde garrido juaristi","calle alcalde garrido juaristi","alcalde garrido juaristi"
"calle del alcalde henche de la plata","calle del alcalde henche de la plata","calle alcalde henche de la plata","alcalde henche de la plata"
"calle del alcalde juan de mata sevillano","calle del alcalde juan de mata sevillano","calle alcalde juan de mata sevillano","alcalde juan de mata sevillano"
"calle del alcalde lópez casero","calle del alcalde lópez casero","calle alcalde lópez casero","alcalde lópez casero"
"calle del alcalde luis marichalar","calle del alcalde luis marichalar","calle alcalde luis marichalar","alcalde luis marichalar"
"calle del alcalde luis silvela","calle del alcalde luis silvela","calle alcalde luis silvela","alcalde luis silvela"
"calle del alcalde martín de alzaga","calle del alcalde martín de alzaga","calle alcalde martín de alzaga","alcalde martín de alzaga"
"plaza del alcalde moreno torres","plaza del alcalde moreno torres","plaza alcalde moreno torres"
"calle de alcalde pedro escarbassiere","calle de alcalde pedro escarbassiere","calle alcalde pedro escarbassiere","alcalde pedro escarbassiere"
"calle del alcalde pedro gutiérrez","calle del alcalde pedro gutiérrez","calle alcalde pedro gutiérrez","alcalde pedro gutiérrez"
"calle del alcalde redondo aceña","calle del alcalde redondo aceña","calle alcalde redondo aceña","alcalde redondo aceña"
"calle del alcalde sainz de baranda","calle del alcalde sainz de baranda","calle alcalde sainz de baranda","alcalde sainz de baranda"
"calle de la alcancía","calle de la alcancía","calle alcancía","alcancía"
"calle de alcántara","calle de alcántara","calle alcántara","alcántara"
"calle de alcañices","calle de alcañices","calle alcañices","alcañices"
"calle de alcañiz","calle de alcañiz","calle alcañiz","alcañiz"
"calle del alcaraván","calle del alcaraván","calle alcaraván","alcaraván"
"calle de alcaraz","calle de alcaraz","calle alcaraz","alcaraz"
"calle de la alcarria","calle de la alcarria","calle alcarria","alcarria"
"calle del alcatraz","calle del alcatraz","calle alcatraz","alcatraz"
"plaza de alcaudete","plaza de alcaudete","plaza alcaudete"
"calle del alcaudón","calle del alcaudón","calle alcaudón","alcaudón"
"calle de la alcazaba","calle de la alcazaba","calle alcazaba","alcazaba"
"calle de alcázar de san juan","calle de alcázar de san juan","calle alcázar de san juan","alcázar de san juan"
"calle de alción","calle de alción","calle alción","alción"
"plaza de alcira","plaza de alcira","plaza alcira"
"calle de alcobendas","calle de alcobendas","calle alcobendas","alcobendas"
"camino de alcobendas","camino de alcobendas","camino alcobendas"
"carretera de alcobendas","carretera de alcobendas","carretera alcobendas"
"carretera de alcobendas a barajas","carretera de alcobendas a barajas","carretera alcobendas a barajas"
"calle de alcocer","calle de alcocer","calle alcocer","alcocer"
"calle de alcolea","calle de alcolea","calle alcolea","alcolea"
"calle de alconera","calle de alconera","calle alconera","alconera"
"calle de alcores","calle de alcores","calle alcores","alcores"
"calle de alcorisa","calle de alcorisa","calle alcorisa","alcorisa"
"calle del alcornoque","calle del alcornoque","calle alcornoque","alcornoque"
"calle de aldapa","calle de aldapa","calle aldapa","aldapa"
"calle de aldaya","calle de aldaya","calle aldaya","aldaya"
"calle de aldea del fresno","calle de aldea del fresno","calle aldea del fresno","aldea del fresno"
"calle de aldea real","calle de aldea real","calle aldea real","aldea real"
"calle de aldeanueva de la vera","calle de aldeanueva de la vera","calle aldeanueva de la vera","aldeanueva de la vera"
"calle de aldebarán","calle de aldebarán","calle aldebarán","aldebarán"
"calle de aldonza lorenzo","calle de aldonza lorenzo","calle aldonza lorenzo","aldonza lorenzo"
"calle de la alegría","calle de la alegría","calle alegría","alegría"
"calle de alegría de oria","calle de alegría de oria","calle alegría de oria","alegría de oria"
"calle de aleixandre","calle de aleixandre","calle aleixandre","aleixandre"
"calle de alejandrina morán","calle de alejandrina morán","calle alejandrina morán","alejandrina morán"
"calle de alejandro casona","calle de alejandro casona","calle alejandro casona","alejandro casona"
"calle de alejandro chacón","calle de alejandro chacón","calle alejandro chacón","alejandro chacón"
"avenida de alejandro de la sota","avenida de alejandro de la sota","avenida alejandro de la sota"
"calle de alejandro dumas","calle de alejandro dumas","calle alejandro dumas","alejandro dumas"
"calle de alejandro ferrant","calle de alejandro ferrant","calle alejandro ferrant","alejandro ferrant"
"calle de alejandro gonzález","calle de alejandro gonzález","calle alejandro gonzález","alejandro gonzález"
"calle de alejandro humbolt","calle de alejandro humbolt","calle alejandro humbolt","alejandro humbolt"
"calle de alejandro morán","calle de alejandro morán","calle alejandro morán","alejandro morán"
"calle de alejandro navarro","calle de alejandro navarro","calle alejandro navarro","alejandro navarro"
"calle de alejandro rodríguez","calle de alejandro rodríguez","calle alejandro rodríguez","alejandro rodríguez"
"calle de alejandro saint aubin","calle de alejandro saint aubin","calle alejandro saint aubin","alejandro saint aubin"
"calle de alejandro sánchez","calle de alejandro sánchez","calle alejandro sánchez","alejandro sánchez"
"travesía de alejandro sánchez","travesía de alejandro sánchez","travesía alejandro sánchez"
"calle de alejandro villegas","calle de alejandro villegas","calle alejandro villegas","alejandro villegas"
"calle de alemania","calle de alemania","calle alemania","alemania"
"calle de alenza","calle de alenza","calle alenza","alenza"
"calle del alerce","calle del alerce","calle alerce","alerce"
"calle de alesanco","calle de alesanco","calle alesanco","alesanco"
"calle  alfa","calle  alfa","calle alfa","alfa"
"calle de alfacar","calle de alfacar","calle alfacar","alfacar"
"calle de la alfalfa","calle de la alfalfa","calle alfalfa","alfalfa"
"calle de alfambra","calle de alfambra","calle alfambra","alfambra"
"calle del alfar","calle del alfar","calle alfar","alfar"
"calle de la alfarería","calle de la alfarería","calle alfarería","alfarería"
"calle de los alfareros","calle de los alfareros","calle alfareros","alfareros"
"calle de alfarnate","calle de alfarnate","calle alfarnate","alfarnate"
"calle de alfaro","calle de alfaro","calle alfaro","alfaro"
"calle del alférez juan usera","calle del alférez juan usera","calle alférez juan usera","alférez juan usera"
"calle de alfonso cea","calle de alfonso cea","calle alfonso cea","alfonso cea"
"calle de alfonso fernández","calle de alfonso fernández","calle alfonso fernández","alfonso fernández"
"calle de alfonso fernández clausells","calle de alfonso fernández clausells","calle alfonso fernández clausells","alfonso fernández clausells"
"calle de alfonso gómez","calle de alfonso gómez","calle alfonso gómez","alfonso gómez"
"calle de alfonso martínez conde","calle de alfonso martínez conde","calle alfonso martínez conde","alfonso martínez conde"
"calle de alfonso paso","calle de alfonso paso","calle alfonso paso","alfonso paso"
"avenida de alfonso peña boeuf","avenida de alfonso peña boeuf","avenida alfonso peña boeuf"
"calle de alfonso rodríguez castelao","calle de alfonso rodríguez castelao","calle alfonso rodríguez castelao","alfonso rodríguez castelao"
"calle de alfonso rodríguez santamaría","calle de alfonso rodríguez santamaría","calle alfonso rodríguez santamaría","alfonso rodríguez santamaría"
"calle de alfonso vi","calle de alfonso vi","calle alfonso vi","alfonso vi"
"calle de alfonso viii","calle de alfonso viii","calle alfonso viii","alfonso viii"
"calle de alfonso x","calle de alfonso x","calle alfonso x","alfonso x"
"calle de alfonso xi","calle de alfonso xi","calle alfonso xi","alfonso xi"
"calle de alfonso xii","calle de alfonso xii","calle alfonso xii","alfonso xii"
"avenida de alfonso xiii","avenida de alfonso xiii","avenida alfonso xiii"
"calle de alfonso xiii","calle de alfonso xiii","calle alfonso xiii","alfonso xiii"
"calle de alfredo aleix","calle de alfredo aleix","calle alfredo aleix","alfredo aleix"
"travesía de alfredo aleix","travesía de alfredo aleix","travesía alfredo aleix"
"calle de alfredo brañas","calle de alfredo brañas","calle alfredo brañas","alfredo brañas"
"calle de alfredo castro camba","calle de alfredo castro camba","calle alfredo castro camba","alfredo castro camba"
"calle de alfredo di stéfano","calle de alfredo di stéfano","calle alfredo di stéfano","alfredo di stéfano"
"plaza de alfredo mahou","plaza de alfredo mahou","plaza alfredo mahou"
"calle de alfredo marqueríe","calle de alfredo marqueríe","calle alfredo marqueríe","alfredo marqueríe"
"calle de algaba","calle de algaba","calle algaba","algaba"
"calle del algarrobo","calle del algarrobo","calle algarrobo","algarrobo"
"calle de algeciras","calle de algeciras","calle algeciras","algeciras"
"calle de algemesí","calle de algemesí","calle algemesí","algemesí"
"travesía de algemesí","travesía de algemesí","travesía algemesí"
"calle de algenib","calle de algenib","calle algenib","algenib"
"calle de algete","calle de algete","calle algete","algete"
"calle del algodón","calle del algodón","calle algodón","algodón"
"calle de los algodonales","calle de los algodonales","calle algodonales","algodonales"
"calle de algodre","calle de algodre","calle algodre","algodre"
"calle de algorta","calle de algorta","calle algorta","algorta"
"callejón del alguacil","callejón del alguacil","callejón alguacil","alguacil"
"glorieta de alhabia","glorieta de alhabia","glorieta alhabia"
"plaza de alhama de almería","plaza de alhama de almería","plaza alhama de almería"
"calle de la alhambra","calle de la alhambra","calle alhambra","alhambra"
"calle de alhaurín","calle de alhaurín","calle alhaurín","alhaurín"
"avenida de los alhelíes","avenida de los alhelíes","avenida alhelíes"
"calle de alhena","calle de alhena","calle alhena","alhena"
"calle de la alhóndiga","calle de la alhóndiga","calle alhóndiga","alhóndiga"
"calle de aliaga","calle de aliaga","calle aliaga","aliaga"
"calle de la alianza","calle de la alianza","calle alianza","alianza"
"calle de alicante","calle de alicante","calle alicante","alicante"
"calle de alicia baena","calle de alicia baena","calle alicia baena","alicia baena"
"calle de alicún","calle de alicún","calle alicún","alicún"
"calle del aligustre","calle del aligustre","calle aligustre","aligustre"
"calle de aliseda","calle de aliseda","calle aliseda","aliseda"
"calle de los alisios","calle de los alisios","calle alisios","alisios"
"calle de aljarafe","calle de aljarafe","calle aljarafe","aljarafe"
"calle de allamanda","calle de allamanda","calle allamanda","allamanda"
"calle de allariz","calle de allariz","calle allariz","allariz"
"calle de allende","calle de allende","calle allende","allende"
"calle de allendesalazar","calle de allendesalazar","calle allendesalazar","allendesalazar"
"plaza de alloz","plaza de alloz","plaza alloz"
"calle de almadén","calle de almadén","calle almadén","almadén"
"calle de almagro","calle de almagro","calle almagro","almagro"
"calle del almanaque","calle del almanaque","calle almanaque","almanaque"
"calle de almansa","calle de almansa","calle almansa","almansa"
"travesía de almansa","travesía de almansa","travesía almansa"
"calle del almanzora","calle del almanzora","calle almanzora","almanzora"
"calle de almarza","calle de almarza","calle almarza","almarza"
